Title,Director,Cast(Subject of documentary),Genre,Notes
,,,,Direct-to-video
,,,,Preceded by The Marine 2(2009)
Masterminds,David Keary,"Tila Tequila, Nick Hogan, Tray Chaney",Drama,"ITN Distribution, Direct-to-video",28-May,N/A
McCanick,Josh C. Waller,"David Morse, Corey Monteith, Mike Vogel, Ciaran Hinds",Crime,Eagle Films,9-Sep,N/A
Medora,Andrew Cohn,Features a basketball team.,Documentary,Beachside Films,8-Nov,N/A
The Men Who Lost China,Mitch Anderson,Explores the attitude between United States and China.,Documentary,Deep Waters Films,15-May,N/A
Metallica: Through the Never,Nimród Antal,"Dane DeHaan, James Hetfield, Lars Ulrich, Kirk Hammett,Robert Trujillo","Documentary,Music",Picturehouse,27-Sep,8?18?
Monsters University,Dan Scanlon,"Billy Crystal, John Goodman, Steve Buscemi, Joel Murray,Sean Hayes, Dave Foley, Peter Sohn, Charlie Day, Frank Oz, Helen Mirren, Alfred Molina, Nathan Fillion, Aubrey Plaza, Tyler Labine, John Krasinski, Bonnie Hunt, Bobby Moynihan, Julia Sweeney, Beth Behrs, John Ratzenberger","Animated,Comedy,Family","Walt Disney Pictures, Pixar",21-Jun,200 / 743
,,,,"Preceded by Monsters, Inc. (2001)"
The Mortal Instruments: City of Bones,Harald Zwart,"Lily Collins, Jamie Campbell Bower, Robert Sheehan, Kevin Zegers, Lena Headey, Kevin Durand, Aidan Turner, Godfrey Gao, CCH Pounder, Jared Harris, Jonathan Rhys Meyers","Action-adventure,Fantasy",Screen Gems,21-Aug,60 / 91
,,,,Based on City of Bones byCassandra Clare
Movie 43,See Segments,"Elizabeth Banks, Kristen Bell, Halle Berry, Leslie Bibb, Kate Bosworth, Gerard Butler, Josh Duhamel, Anna Faris, Richard Gere, Terrence Howard, Hugh Jackman, Johnny Knoxville,Justin Long, Christopher Mintz-Plasse, Chloë Grace Moretz,Liev Schreiber, Seann William Scott, Emma Stone, Jason Sudeikis, Uma Thurman, Naomi Watts, Kate Winslet",Comedy,Relativity Media,25-Jan,6?30?
Much Ado About Nothing,Joss Whedon,"Amy Acker, Alexis Denisof, Reed Diamond, Nathan Fillion,Clark Gregg, Fran Kranz, Sean Maher, Jillian Morgese",Romantic comedy,"Lionsgate, Roadside Attractions",7-Jun,N/A / 4
,,,,Based on the play of thesame name by William Shakespeare
Mud,Jeff Nichols,"Matthew McConaughey, Tye Sheridan, Sam Shepard,Michael Shannon, Joe Don Baker, Ray McKinnon, Sarah Paulson, Paul Sparks, Jacob Lofland and Reese Witherspoon",Drama,"Lionsgate, Roadside Attractions",April 26,N/A / 22
Nebraska,Alexander Payne,"Bruce Dern, Will Forte, June Squibb, Stacy Keach, Bob Odenkirk",Dramedy,"Paramount Vantage,FilmNation Entertainment",15-Nov,12?18?
No One Lives,Ryuhei Kitamura,"Luke Evans, Adelaide Clemens, Lee Tergesen, Laura Ramsey, Derek Magyar, Beau Knapp, America Olivo, Brodus Clay, Lindsey Shaw",Horror,"Lionsgate, WWE Studios",10-May,"2.9 / 74,918"
Now You See Me,Louis Leterrier,"Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Mélanie Laurent, Isla Fisher, Dave Franco, Michael Caine, Morgan Freeman",Thriller,Summit Entertainment,31-May,75 / 352
Oblivion,Joseph Kosinski,"Tom Cruise, Olga Kurylenko, Andrea Riseborough, Morgan Freeman, Nikolaj Coster-Waldau, Melissa Leo, Zoe Bell","Action, Sci-Fi",Universal Pictures,April 10,120 / 286
Officer Down,Brian A. Miller,"Stephen Dorff, Dominic Purcell, AnnaLynne McCord, David Boreanaz, Soulja Boy, Stephen Lang, James Woods","Action, Crime",Anchor Bay Films,18-Jan,N/A
Oldboy,Spike Lee,"Josh Brolin, Elizabeth Olsen, Sharlto Copley",Thriller,FilmDistrict,27-Nov,5?30?
Olympus Has Fallen,Antoine Fuqua,"Gerard Butler, Aaron Eckhart and Morgan Freeman, Angela Bassett, Robert Forster, Cole Hauser, Finley Jacobsen,Ashley Judd, Melissa Leo, Dylan McDermott, Radha Mitchell,Rick Yune",Action-thriller,"FilmDistrict, Millennium Films",22-Mar,70 / 161
One Direction: This Is Us,Morgan Spurlock,Chronicling the lives of British boy band One Direction while on tour.,"Concert,Documentary",TriStar Pictures,29-Aug,10 / 67
Out of the Furnace,Scott Cooper,"Christian Bale, Woody Harrelson, Casey Affleck, Forest Whitaker, Willem Dafoe, Zoë Saldana and Sam Shepard",Crime,"Relativity Media, Red Granite Pictures",6-Dec,22 / 14
Oz the Great and Powerful,Sam Raimi,"James Franco, Mila Kunis, Rachel Weisz, Michelle Williams,Zach Braff, Bill Cobbs, Joey King (voice), Tony Cox","Adventure,Fantasy",Walt Disney Pictures,8-Mar,215 / 493
,,,,Based on the Oz series byL. Frank Baum
Pacific Rim,Guillermo del Toro,"Charlie Hunnam, Idris Elba, Rinko Kikuchi, Charlie Day, Rob Kazinsky, Max Martini, Ron Perlman","Action, Sci-Fi","Warner Bros., Legendary Pictures",12-Jul,190 / 411
The Package,Jesse V. Johnson,"Steve Austin, Dolph Lundgren, Eric Keenleyside, Mike Dopud, John Novak",Action,"Anchor Bay Entertainment,Direct-to-video",19-Mar,N/A
Pain & Gain,Michael Bay,"Mark Wahlberg, Dwayne Johnson, Anthony Mackie, Tony Shalhoub and Ed Harris","Crime, Dark comedy",Paramount Pictures,April 26,26 / 86
Palominas,Thadd Turner,"Buck Taylor, Daryl Hannah, Wes Studi, Ryan Merriman,Michael Parks",Drama,Allied Artists Pictures,8-Oct,N/A
Paradise,Diablo Cody,"Julianne Hough, Russell Brand, Octavia Spencer, Nick Offerman, Holly Hunter",Drama,Imagine Entertainment,18-Oct,N/A
Paranoia,Robert Luketic,"Liam Hemsworth, Gary Oldman, Amber Heard and Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway and Richard Dreyfuss",Thriller,Relativity Media,16-Aug,35 / 14
,,,,Based on the novel of thesame name by Joseph Finder
The Pardon,Tom Anton,"Jaime King, Jason Lewis, M.C. Gainey, Leigh Whannell",Drama,,22-Mar,N/A
Parker,Taylor Hackford,"Jason Statham, Jennifer Lopez, Michael Chiklis, Bobby Cannavale, and Nick Nolte, Clifton Collins, Jr., Wendell Pierce, Patti LuPone, Carlos Carrasco, Micah A. Hauptman,Emma Booth, Daniel Bernhardt",Crime thriller,"FilmDistrict, Incentive Filmed Entertainment,Sierra Pictures",25-Jan,35 / 46
,,,,Based on Flashfire byDonald Westlake
Parkland,Peter Landesman,"James Badge Dale, Zac Efron, Colin Hanks, David Harbour,Jackie Earle Haley, Marcia Gay Harden, Ron Livingston,Jeremy Strong, Billy Bob Thornton, Jacki Weaver, Tom Welling and Paul Giamatti",Drama,Exclusive Media,4-Oct,N/A / 0.7
Pawn,David A. Armstrong,"Jessica Szohr, Nikki Reed, Sean Faris, Forest Whitaker",Thriller,Anchor Bay Films,April 19,N/A
Pawn Shop Chronicles,Wayne Kramer,"Paul Walker, Matt Dillon, Brendan Fraser, Kevin Rankin,Vincent D'Onofrio, Norman Reedus",Crime thriller,Anchor Bay Films,12-Jul,N/A
Penthouse North,Joseph Ruben,"Michael Keaton, Michelle Monaghan, Barry Sloane,Kaniehtiio Horn",Thriller,Dimension Films,April 18,N/A
Percy Jackson: Sea of Monsters,Thor Freudenthal,"Logan Lerman, Brandon T. Jackson, Alexandra Daddario,Leven Rambin, Jake Abel, Douglas Smith, Stanley Tucci,Nathan Fillion","Adventure,Fantasy","20th Century Fox, Fox 2000 Pictures",7-Aug,90 / 200
,,,,Based on Sea of Monstersby Rick Riordan
,,,,Preceded by Percy Jackson & the Olympians: The Lightning Thief (2010)
Phantom,Todd Robinson,"Ed Harris, David Duchovny, William Fichtner, Lance Henriksen, Johnathon Schaech, Jason Beghe, Sean Patrick Flannery, Jason Gray-Stanford, Julian Adams",Thriller,RCR Media Group,1-Mar,N/A / 1
Philomena,Stephen Frears,"Judi Dench, Steve Coogan",Drama,The Weinstein Company,22-Nov,12 / 100
Pit Stop,Yen Tan,"Bill Heck, Marcus DeAnda, Amy Seimetz, Alfredo Maduro",Drama,Wolfe Video,21-Jan,N/A
The Place Beyond the Pines,Derek Cianfrance,"Ryan Gosling, Bradley Cooper, Eva Mendes and Ray Liotta,Ben Mendelsohn, Rose Byrne, Mahershala Ali, Bruce Greenwood, Harris Yulin",Crime drama,"Focus Features, Sidney Kimmel Entertainment",29-Mar,15 / 35
Planes,Klay Hall,"Dane Cook, Stacy Keach, Priyanka Chopra, Brad Garrett,Teri Hatcher, Cedric the Entertainer, Julia Louis-Dreyfus,John Cleese, Carlos Alazraqui, Roger Craig Smith, andGabriel Iglesias","Animated,Comedy,Family","Walt Disney Pictures,DisneyToon Studios",9-Aug,50 / 220
Plush,Catherine Hardwicke,"Emily Browning, Xavier Samuel, Cam Gigandet, Dawn Olivieri, Thomas Dekker and Frances Fisher",Thriller,"Millennium Entertainment,IM Global, Blumhouse Productions",13-Sep,N/A
Plus One,Dennis Iliadis,"Ashley Hinshaw, Rhys Wakefield, Natalie Hall",Thriller,Process Films,10-Mar,N/A
The Power Inside,Will Speck,"Harvey Keitel, Analeigh Tipton, Craig Roberts, Reid Ewing,Zack Pearlman",Thriller,"Intel, Toshiba",14-Sep,N/A
The Pretty One,Jenée LaMarque,"Zoe Kazan, Jake Johnson, Ron Livingston, Sterling Beaumon",Drama,Provenance Pictures,April 20
Prince Avalanche,David Gordon Green,"Paul Rudd, Emile Hirsch, Lance LeGault",Drama,Magnolia Pictures,9-Aug,N/A
,,,,Based on the film Either Way (2011)
Prisoners,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello,Terrence Howard, Melissa Leo and Paul Dano",Crime thriller,"Alcon Entertainment,Warner Bros.",20-Sep,46 / 122
Project 2x1,Hannah Roodman,Covers the lives of Judaism and West Indian residents inBrooklyn.,Documentary,,8-Dec,N/A
Proxy,Zack Parker,"Alexia Rasmussen, Joe Swanberg, Alexa Havins, Kristina Klebe, Jim Dougherty",Horror,IFC Midnight,10-Sep,N/A
The Punk Singer,Sini Anderson,Follows a girl band's rise into stardom.,Documentary,,10-Mar,N/A
The Purge,James DeMonaco,"Ethan Hawke, Lena Headey, Max Burkholder, Tony Oller,Edwin Hodge, Rhys Wakefield, Adelaide Kane, Arija Bareikis,Chris Mulkey, Karen Strassman","Sci-Fi, Thriller","Universal Pictures,Platinum Dunes",7-Jun,3 / 89
Rapture-Palooza,Paul Middleditch,"Craig Robinson, Anna Kendrick, John Francis Daley, Ken Jeong",Fantasy-comedy,Lionsgate,7-Jun,N/A
The Red Robin,Michael Z. Wechsler,"Judd Hirsch, C.S. Lee, Ryan O'Nan, Joseph Lyle Taylor",Thriller,Rowish Entertainment,12-Dec,N/A
RED 2,Dean Parisot,"Bruce Willis, John Malkovich, Mary-Louise Parker, Catherine Zeta-Jones, Anthony Hopkins, Helen Mirren",Action comedy,Summit Entertainment,19-Jul,84 / 148
,,,,Based on characters created by Warren Ellisand Cully Hammer
,,,,Preceded by RED (2010)
A Resurrection,Matt Orlando,"Devon Sawa, Mischa Barton, Michael Clarke Duncan, Stuart Stone",Horror,Archstone Distribution,22-Mar,N/A
Riddick,David Twohy,"Vin Diesel, Jordi Mollá, Matt Nable, Katee Sackhoff, Dave Bautista, Bokeem Woodbine, Raoul Trujillo and Karl Urban","Action, Sci-Fi","Universal Pictures, Radar Pictures, One Race Films",6-Sep,38 / 98
,,,,Preceded by The Chronicles of Riddick(2004)
R.I.P.D.,Robert Schwentke,"Jeff Bridges, Ryan Reynolds, Kevin Bacon, Mary-Louise Parker, Stephanie Szostak","Buddy cop,Supernatural",Universal Pictures,19-Jul,130 / 78
,,,,Based on the comic of the same name created byPeter M. Lenkov
Robosapien: Rebooted,Sean McNamara,"Bobby Coleman, Holliston Coleman, Penelope Ann Miller,Joaquim de Almeida",Animated,Anchor Bay Films,28-May,N/A
Robotech: Love Live Alive,"Gregory Snegoff,Katsuhisa Yamada","Frank Catalano, Cam Clarke, Richard Epcar, Barbara Goodson, Alexandra Kenworthy",Animated,"Lionsgate, Direct-to-video",23-Jul,N/A
,,,,Based on the music video of the same name (1985)
Runner Runner,Brad Furman,"Justin Timberlake, Gemma Arterton, Anthony Mackie, Ben Affleck, David Costabile, Sam Palladio, Oliver Cooper",Thriller,20th Century Fox,4-Oct,30 / 63
Safe Haven,Lasse Hallström,"Josh Duhamel, Julianne Hough, Cobie Smulders, David Lyons",Romantic thriller,Relativity,14-Feb,28 / 71
,,,,Based on the novel of the same name by Nicholas Sparks
Salinger,Shane Salerno,About the reclusive writer J. D. Salinger.,Documentary,The Weinstein Company,6-Sep,N/A
The Saratov Approach,Garrett Batty,The Kidnapping of Mormon Missionaries in Russia in 1998.,Thriller,Saratov Films,9-Oct,N/A
Savannah,Annette Haywood-Carter,"Jim Caviezel, Jaimie Alexander, Chiwetel Ejiofor, Jack McBrayer, Sam Shepard",Drama,Ketchup Entertainment,23-Aug,N/A
Saving Lincoln,Salvador Litvak,"Tom Amandes, Lea Coco, Penelope Ann Miller, Bruce Davison, Creed Bratton",Biographical,Lane Street Pictures,15-Feb,N/A
Saving Mr. Banks,John Lee Hancock,"Emma Thompson, Tom Hanks, Paul Giamatti, Jason Schwartzman and Colin Farrell",Dramedy,Disney,13-Dec,35 / 112
Saving Santa,Leon Joosen,"Martin Freeman, Tim Curry, Noel Clarke, Tim Conway, Pam Ferris",Animated,"The Weinstein Company,Direct-to-video",1-Nov,N/A
Scary Movie 5,Malcolm D. Lee,"Ashley Tisdale, Simon Rex, Erica Ash, Katrina Bowden,Heather Locklear, Terry Crews, J. P. Manoux, Mac Miller,Jerry O'Connell, Molly Shannon, Snoop Dogg, Kate Walsh,Katt Williams, Sarah Hyland, Bow Wow, Jasmine Guy, Lil Duval, Chris Elliott, Kendra Wilkinson, Audrina Patridge,Tyler Posey, Mike Tyson, Charlie Sheen, Lindsay Lohan","Horror comedy,Parody","Dimension Films, The Weinstein Company",April 12,20 / 78
,,,,Preceded by Scary Movie 4 (2006)
Scenic Route,Kevin and Michael Goetz,"Josh Duhamel, Dan Fogler",Psychological thriller,"Vertical Entertainment,Anonymous Content",23-Aug,N/A
Season of Miracles,Dave Moody,"John Schneider, Grayson Russell, Andrew Wilson Williams,Nancy Stafford",Drama,Gaiam Vivendi Entertainment,13-Jul,N/A
,,,,Based on the novel of the same name by Rusty Whitener
The Secret Life of Walter Mitty,Ben Stiller,"Ben Stiller, Kristin Wiig, Shirley MacLaine, Adam Scott,Kathryn Hahn and Sean Penn",Dramedy,20th Century Fox,25-Dec,90 / 188
,,,,Based on the short story of the same name byJames Thurber
Sexy Evil Genius,Shawn Piller,"Katee Sackhoff, Michelle Trachtenberg, Anthony Michael Hall, Seth Green",Comedy,"Lionsgate, Direct-to-video",April 9,N/A
Shadow People,Matthew Arnold,"Dallas Roberts, Alison Eastwood, Anne Dudek, Mariah Bonner, Mattie Liptak",Horror,"Anchor Bay Films, Direct-to-video",19-Mar,N/A
She Wants Me,Rob Margolies,"Josh Gad, Kristen Ruhlin, Charlie Sheen and Hilary Duff",Comedy,Lionsgate,28-Sep,N/A
Short Term 12,Destin Cretton,"Brie Larson, John Gallagher, Jr., Kaitlyn Dever, Rami Malek",Drama,Cinedigm,23-Aug,N/A
Shotgun Wedding,Danny Roew,"Mike Damus, Kim Shaw, Joel McKinnon Miller",Comedy,Fox Studios,31-Mar,N/A
Side Effects,Steven Soderbergh,"Jude Law, Rooney Mara, Catherine Zeta-Jones andChanning Tatum",Thriller,Open Road Films,8-Feb,N/A / 63
A Single Shot,David Rosenthal,"Sam Rockwell, Jeffrey Wright, Kelly Reilly, Jason Isaacs, Joe Anderson, Ophelia Lovibond","Drama,Thriller",Tribeca Films,April 25,N/A
,,,,Based on the novel of the same name by Matthew F. Jones
Skinwalker Ranch,Devin McGinn,"Taylor Bateman, Steve Berg, Michael Black, Erin Cahill, Carol Call, Kyle Davis",Horror,DeepStudios,30-Oct,N/A
The Smurfs 2,Raja Gosnell,"Neil Patrick Harris, Jayma Mays, Hank Azaria, Tim Gunn,Brendan Gleeson, Katy Perry, Jonathan Winters, Alan Cumming, Fred Armisen, George Lopez, Anton Yelchin, John Oliver, Christina Ricci, J. B. Smoove, Frank Welker","Adventure,Family","Columbia Pictures, Sony Pictures Animation",31-Jul,105 / 347
,,,,Preceded by The Smurfs(2011)
The Smurfs: The Legend of Smurfy Hollow,Stephan Franck,"Fred Armisen, Melissa Sturm, Jack Angel, Alan Cumming,Anton Yelchin, Hank Azaria, Tom Kane","Animated,Family","Sony Pictures Animation,Direct-to-video",13-Oct,N/A
,,,,Based on the short story of the same name byWashington Irving
Snitch,Ric Roman Vaugh,"Dwayne Johnson, Barry Pepper, Jon Bernthal, Michael K. Williams, Melina Kanakaredes, Nadine Velazquez, Rafi Gavron, David Harbour, Benjamin Bratt, Susan Sarandon",Action drama,"Summit Entertainment, Exclusive Media,Participant Media, Image Nation",22-Feb,N/A / 43
Some Velvet Morning,Neil LaBute,"Alice Eve, Stanley Tucci",Drama,Tribeca Film,April 21,N/A
Sound City,Dave Grohl,The history of Los Angeles recording studio Sound City Studios.,Documentary,"Variance Films, Roswell Films, Gravitas Ventures, Therapy Studios",1-Feb,N/A
The Spectacular Now,James Ponsoldt,"Miles Teller, Shailene Woodley, Brie Larson, Jennifer Jason Leigh, Kyle Chandler",Drama,A24,2-Aug,2.5 / 7
Spiders 3D,Tibor Takács,"Patrick Muldoon, Christa Campbell, William Hope",Thriller,Nu Image,8-Feb,N/A
Spirit of the Marathon II,Jon Dunham,Follows seven marathon runners competing at the 2012 Rome Marathon.,Documentary,Image Entertainment,12-Jun,N/A
,,,,Preceded by Spirit of the Marathon (2008)
Spring Breakers,Harmony Korine,"James Franco, Vanessa Hudgens, Selena Gomez, Ashley Benson, Rachel Korine, Gucci Mane","Comedy-drama, Crime thriller","A24, Annapurna Pictures, Muse Productions,Division Films",22-Mar,5 / 32
Standing Up,D. J. Caruso,"Annalise Basso, Radha Mitchell, Chandler Canterbury",Drama,Arc Entertainment,16-Aug,N/A
,,,,Based on the novel The Goats by Brock Cole
Stand Up Guys,Fisher Stevens,"Al Pacino, Christopher Walken, Alan Arkin, Julianna Margulies","Comedy,Crime","Lionsgate, Sidney Kimmel Entertainment, Lakeshore Entertainment",1-Feb,3?15?
Star Trek Into Darkness,J. J. Abrams,"John Cho, Benedict Cumberbatch, Alice Eve, Bruce Greenwood, Simon Pegg, Chris Pine, Zachary Quinto, Zoe Saldana, Karl Urban, Peter Weller, Anton Yelchin","Action-adventure,Sci-Fi","Paramount Pictures,Skydance Productions",17-May,190 / 467
,,,,Based upon the series of the same name created byGene Roddenberry
,,,,Preceded by Star Trek(2009)
The Starving Games,Jason Friedberg and Aaron Seltzer,"Maiara Walsh, Brant Daugherty, Cody Christian",Parody,Ketchup Entertainment,8-Nov,N/A
Stoker,Park Chan-wook,"Mia Wasikowska, Matthew Goode, Nicole Kidman, Dermot Mulroney, Jacki Weaver, Lucas Till, Alden Ehrenreich, Phyllis Somerville, Judith Godrèche",Psychological thriller,"Fox Searchlight Pictures,Indian Paintbrush, Scott Free Productions",1-Mar,12?9?
Straight A's,James Cox,"Anna Paquin, Ryan Phillippe, Luke Wilson, Powers Boothe,Tess Harper",Romantic comedy,Millennium Entertainment,19-Mar,2?5?
Struck by Lightning,Brian Dannelly,"Chris Colfer, Allison Janney, Christina Hendricks, Sarah Hyland, Carter Jenkins, Brad William Henke, Rebel Wilson,Angela Kinsey, Polly Bergen, Dermot Mulroney","Comedy-drama, Teen",Tribeca Film,11-Jan,N/A
Submit the Documentary,Les Ottolenghi,Goes into the world of cyberbullying.,Documentary,Plat4M Studios,3-Mar,N/A
Sunlight Jr.,Laurie Collyer,"Norman Reedus, Naomi Watts, Matt Dillon, William Haze",Drama,Gravitas Ventures,April 20,N/A
Super Buddies,Robert Vince,"John Ratzenberger, Trey Loney, Veronca Diaz-Carranza,Jay Brazeau",Family,"Walt Disney, Direct-to-video",27-Aug,N/A
Superman: Unbound,James Tucker,"Matt Bomer, Stana Katic, John Noble, Molly Quinn, Diedrich Bader, Alexander Gould, Frances Conroy","Animated,Superhero","Warner Bros., Direct-to-video",7-May,N/A
,,,,16th film in the DC Universe Animated Original Movies
Sweetwater,Logan Miller,"Ed Harris, January Jones, Jason Isaacs, Stephen Root","Thriller,Western",Raindance Entertainment,24-Jan,N/A
A Teacher,Hannah Fidell,"Lindsay Burdge, Will Brittain, Jennifer Prediger, Jonny Mars",Drama,Oscilloscope Laboratories,6-Sep,N/A
Temptation: Confessions of a Marriage Counselor,Tyler Perry,"Jurnee Smollett-Bell, Lance Gross, Vanessa Williams, Kim Kardashian, Robbie Jones and Brandy Norwood",Romantic drama,"Lionsgate, Tyler Perry Studios",29-Mar
,,,,Based on the play of the same name by Tyler Perry
Test,Chris Mason Johnson,"Kevin Clarke, Kristoffer Cusick, Scott Marlowe, Matthew Risch, Damon K. Sperber",Drama,Serious Productions,7-Jun,N/A
Texas Chainsaw 3D,John Luessenhop,"Alexandra Daddario, Dan Yeager, Tremaine 'Trey Songz' Neverson, Tania Raymonde, Keram Malicki-Sanchez, Thom Barry, Paul Rae and Bill Moseley",Slasher,Lionsgate,4-Jan,NA / 47
The Square,Jehane Noujaim,"Khalid Abdalla, Ahmed Hassan,Dina Abdullah,Magdy Ashour,Sherif Boray,Aida Elkashef",Documentary,GathrFilms and Participant Media,25-Oct,N/A
This Is the End,"Seth Rogen,Evan Goldberg","James Franco, Jonah Hill, Seth Rogen, Jay Baruchel, Danny McBride, Craig Robinson, Michael Cera, Emma Watson",Comedy,"Columbia Pictures,Mandate Pictures",12-Jun,32 / 126
Thor: The Dark World,Alan Taylor,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Stellan Skarsgård, Idris Elba, Christopher Eccleston, Adewale Akinnuoye-Agbaje, Kat Dennings, Ray Stevenson, Zachary Levi, Tadanobu Asano, Jaimie Alexander, Rene Russo andAnthony Hopkins",Superhero,Marvel Entertainment,8-Nov,170 / 639
,,,,Preceded by Thor (2011)
Turbo,David Soren,"Ryan Reynolds, Paul Giamatti, Michael Peña, Luis Guzmán,Bill Hader, Richard Jenkins, Ken Jeong, Michelle Rodriguez,Maya Rudolph, Ben Schwartz, Kurtwood Smith, Snoop Dogg,Samuel L. Jackson","Animated,Comedy,Family","20th Century Fox,DreamWorks Animation",17-Jul,135 / 283
Tyler Perry Presents Peeples,Tina Gordon Chism,"Craig Robinson, Kerry Washington, David Alan Grier, S. Epatha Merkerson, Tyler James Williams, Melvin Van Peebles, Diahann Carroll",Comedy,"Lionsgate, 34th Street Films",10-May,9?15?
UnHung Hero,Brian Spitz,A man travels the world in search to enlarge his penis.,Documentary,Breaking Glass Pictures,8-Mar,N/A
The Unknown Known,Errol Morris,Features the life of Donald Rumsfeld.,Documentary,Radius,29-Aug,N/A
Unsupersize Me,Juan-Carlos F. Asse,Centers around healthy eating and exercise.,Documentary,Vimeo,6-May,N/A
The Upper Footage,Justin Cole,Found footage of the death of a female teen.,Found footage,,30-Jan,N/A
Upstream Color,Shane Carruth,"Amy Seimetz, Shane Carruth, Andrew Sensenig, Thiago Martins",Drama,ERBP,April 5,N/A
V/H/S/2,"Simon Barrett,Adam Wingard,Eduardo Sánchez, Gregg Hale, Timo Tjahjanto, Gareth Huw Evans, Jason Eisener",A series of found-footage shorts.,"Anthology,Horror","Magnet Releasing, The Collective, Bloody Disgusting",12-Jul,N/A
,,,,Preceded by V/H/S (2012)
Vehicle 19,Mukunda Michael Dewil,"Paul Walker, Naima McLean, Gys de Villiers, Leyla Haidarian",Thriller,VVS Films,14-Jun,N/A
Violet & Daisy,Geoffrey Fletcher,"Saoirse Ronan, Alexis Bledel, Marianne Jean-Baptiste,Danny Trejo and James Gandolfini","Action,Comedy-drama",Cinedigm,7-Jun,N/A
The Wait,M. Blash,"Jena Malone, Chloë Sevigny, Luke Grimes, Devon Gearhart",Drama,Monterey Media,10-Mar,N/A
Walking with Dinosaurs,"Neil Nightingale,Barry Cook",Dinosaurs from the Late Cretaceous period.,"Documentary,Family",20th Century Fox,20-Dec,80 / 124
Warm Bodies,Jonathan Levine,"Nicholas Hoult, Teresa Palmer, Rob Corddry, Dave Franco,Analeigh Tipton, Cory Hardrict and John Malkovich","Horror,Romantic comedy",Summit Entertainment,1-Feb,35 / 117
,,,,Based on the novel of thesame name by Isaac Marion
"The Way, Way Back","Nat Faxon, Jim Rash","Steve Carell, Toni Collette, Allison Janney, Annasophia Robb, Sam Rockwell, Maya Rudolph, Rob Corddry, Amanda Peet and Liam James",Dramedy,Fox Searchlight Pictures,5-Jul,4.6 / 23
We Are What We Are,Jim Mickle,"Bill Sage, Julia Garner, Ambyr Childers, Odeya Rush",Horror,Entertainment One,27-Sep,N/A
,,,,Remake of the Mexican film
We Steal Secrets: The Story of WikiLeaks,Alex Gibney,Features the organization WikiLeaks started by Julian Assange,Documentary,Focus World,24-May,N/A
We're the Millers,Rawson Marshall Thurber,"Jason Sudeikis, Jennifer Aniston, Emma Roberts, Will Poulter, Ed Helms, Nick Offerman",Comedy,"Warner Bros. Pictures,New Line Cinema",7-Aug,37 / 270
Welcome to the Jungle,Rob Meltzer,"Jean-Claude Van Damme, Adam Brody, Rob Huebel,Kristopher Van Varenberg",Comedy,Universal Pictures,April 27,N/A
White House Down,Roland Emmerich,"Channing Tatum, Jamie Foxx, Maggie Gyllenhaal, Jason Clarke, Richard Jenkins and James Woods",Action comedy,Columbia Pictures,28-Jun,150 / 205
White Reindeer,Zach Clark,"Anna Margaret Hollyman, Laura Lemar-Goldsborough, Lydia Hyslop",Comedy,IFC Films,6-Dec,N/A
The Wicked,Peter Winther,"Jess Adams, Diana Hooper, Devon Werkheiser, Justin Deeley, Jamie Kaler",Horror,Blue Sky Media,April 30,N/A
The Wolf of Wall Street,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey, Kyle Chandler, Rob Reiner, Jon Favreau andJean Dujardin","Bio-pic, Black comedy",Universal Pictures,25-Dec,100 / 337
,,,,Based on the book of the same name by Jordan Belfort
The Wolverine,James Mangold,"Hugh Jackman, Tao Okamoto, Hiroyuki Sanada, Rila Fukushima, Famke Janssen, Will Yun Lee, Svetlana Khodchenkova, Haruhiko Yamanouchi, Brian Tee",Superhero,"20th Century Fox, Marvel Entertainment",26-Jul,120 / 415
,,,,Based on the 1982 limited series Wolverine by Chris Claremont and Frank Miller
,,,,Preceded by X-Men: First Class (2011)
World War Z,Marc Forster,"Brad Pitt, Mireille Enos, James Badge Dale and Matthew Fox",Action-adventure,"Paramount Pictures,Skydance Productions",21-Jun,190 / 540
,,,,Based on the novel of thesame name by Max Brooks
Wrong,Quentin Dupieux,"Jack Plotnick, Eric Judor, Alexis Dziena, Steve Little andWilliam Fichtner",Comedy,Drafthouse Films,29-Mar,N/A
Wrong Cops,Quentin Dupieux,"Mark Burnham, Éric Judor, Marilyn Manson, Steve Little,Grace Zabriskie",Comedy,Realistic Films,20-Jan,N/A
You're Next,Adam Wingard,"Sharni Vinson, Nicholas Tucci, Wendy Glenn, AJ Bowen, Joe Swanberg, Barbara Crampton, Rob Moran",Horror,"Lionsgate, Snoot Entertainment",23-Aug,1?18?
You Are Here,Matthew Weiner,"Owen Wilson, Zach Galifianakis, Amy Poehler, Jenna Fischer, Laura Ramsey, Lauren Lapkus",Drama,VVS Films,7-Sep,N/A
Zero Charisma,Katie Graham,"Sam Eidson, Anne Gee Byrd, Brock England, Garrett Graham, Cyndi Williams",Comedy,Tribeca Film,11-Oct,N/A
