Title,Director,Cast(Subject of documentary),Genre,Notes
How to Train Your Dragon,"Chris Sanders, Dean DeBlois","Jay Baruchel, America Ferrera, Jonah Hill, Gerard Butler, Christopher Mintz-Plasse, Craig Ferguson","Family, Fantasy","DreamWorks Animation,Paramount Pictures"
Hubble 3D,Toni Myers,The Hubble Space Telescope repair mission. Narrated by Leonardo DiCaprio.,Documentary,Warner Bros. Pictures
Hurricane Season,Tim Story,"Forest Whitaker, Lil Wayne, Bow Wow, Isaiah Washington, Taraji P. Henson, Michael Gaston,Jackie Long, Khleo Thomas","Drama, Sports","Dimension Films, The Weinstein Company"
,,,,Direct-to-DVD
Hyenas,Eric Weston,"Christa Campbell, Costas Mandylor, Joshua Alba, Rudolf Martin",Horror,Entertainment Dome
I Love You Phillip Morris,John Requa andGlenn Ficarra,"Jim Carrey, Ewan McGregor, Leslie Mann, Rodrigo Santoro","Bio-pic, Comedy-drama",Roadside Attractions
,,,,Adapted from the book by Steve McVicker
I'm Still Here,Casey Affleck,Tumultuous year in the life of actor Joaquin Phoenix as he attempts to reinvent himself as a hip-hop artist.,Mockumentary,Magnolia Pictures
Inception,Christopher Nolan,"Leonardo DiCaprio, Ken Watanabe, Joseph Gordon-Levitt, Marion Cotillard, Ellen Page, Tom Hardy, Cillian Murphy, Tom Berenger, Michael Caine",Science fiction,Warner Bros. Pictures
Iron Man 2,Jon Favreau,"Robert Downey, Jr., Don Cheadle, Mickey Rourke, Gwyneth Paltrow, Sam Rockwell, Scarlett Johansson, Samuel L. Jackson",Superhero,"Paramount Pictures,Marvel Entertainment"
,,,,Preceded by Iron Man(2008)
It's Kind of a Funny Story,Ryan Fleck and Anna Boden,"Keir Gilchrist, Zach Galifianakis, Emma Roberts, Viola Davis, Zoë Kravitz, Aasif Mandvi, Lauren Graham, Jim Gaffigan",Comedy-drama,Focus Features
,,,,Based on the novel of the same name by Ned Vizzini
Jack Goes Boating,Philip Seymour Hoffman,"Philip Seymour Hoffman, Amy Ryan, John Ortiz, Daphne Rubin-Vega",Romantic comedy,Overture Films. Based on the play by Bob Glaudini
